TotalSF,LotArea,BedroomAbvGr,SalePrice
1682,10400,3,174000
1214,10355,3,143000
1959,11070,5,171000
1852,9066,3,230000
1764,15426,3,231500
864,10500,3,115000
1734,11645,3,260000
1385,8520,4,166000
1501,10335,3,204000
1728,9100,6,125000
1709,2522,3,130000
875,6120,2,105000
2035,9505,3,222500
1080,7500,3,141000
1344,6240,3,115000
969,10356,3,122000
1710,13891,2,372402
1993,14803,4,190000
1252,13500,1,235000
1200,11340,4,125000
1096,9600,2,79000
1040,7200,2,109500
1968,12003,4,269500
1947,12552,3,254900
2462,19378,4,320000
1232,11120,3,162500
2668,13688,3,412500
1541,12182,3,220000
882,5500,1,103200
1616,5400,3,152000
1355,10106,4,127500
1867,10708,2,190000
2161,10562,3,325624
1720,8244,3,183500
1707,16669,2,228000
854,12358,2,128500
1656,31770,3,215000
1767,5306,2,239000
1362,10197,3,163000
1651,12416,3,184000
2158,12615,4,243000
2060,10029,4,211000
1920,13650,4,172500
2234,17423,1,501837
968,8520,2,100000
1525,2117,3,177000
1802,7588,4,200100
1340,9060,3,120000
2082,11426,3,200000
1252,7438,3,127000
3036,22950,4,475000
1217,9947,3,173000
1512,10410,3,135000
1224,7018,2,153337
1593,4923,0,286000
2727,10570,3,315000
1479,7472,4,184000
1431,9017,3,192000
1709,2522,3,130000
864,7180,3,127000
1456,2280,3,148500
1726,9416,3,311872
2720,25419,4,235000
1858,5520,5,104000
1713,9591,3,274900
1121,8546,2,140000
1279,10125,3,171500
1310,7000,2,112000
848,4438,1,149000
1284,3500,2,110000
1442,11851,3,180500
1696,13673,3,143900
1100,12493,3,141000
2062,14364,3,277000
1092,8250,3,145000
864,5604,2,98000
1212,10420,3,186000
1852,8640,3,252678
990,13568,3,156000
1392,10900,3,161750
1236,10011,2,134450
1436,8450,3,210000
1328,9906,3,107000
1954,15660,3,311500
1248,3010,2,167240
1498,8990,2,204900
2267,8068,4,200000
1552,11475,3,179900
864,10500,2,97000
2392,13472,3,386250
1302,1680,3,112000
2520,9950,4,290000
987,1869,2,106000
912,8521,3,125000
1555,3182,2,192500
1194,8760,3,148000
2794,15138,4,403000
987,1680,2,94500
894,10650,3,128200
1960,7851,4,216500
987,1680,2,89500
1414,8773,3,185500
1744,9453,3,194500
1694,12030,3,318000
1487,8741,3,113000
1566,9000,3,262500
866,3880,2,110500
1440,5000,3,79000
1217,10762,3,120000
2110,8880,3,205000
1872,10400,3,241500
1928,9142,4,137000
1375,11310,2,140000
1668,11317,3,180000
2144,159000,4,277000
1306,5350,3,76500
1625,4750,2,235000
1640,8366,3,173000
1302,9350,3,158000
1314,8400,3,145000
2291,8738,4,230000
1728,8791,3,207500
1604,8814,3,220000
1792,12435,3,231500
882,12702,2,97000
1382,19296,3,176000
2574,9588,3,276000
1212,8471,3,151000
926,5500,3,130000
764,5232,2,73000
1422,12090,3,175500
1511,11207,3,185000
1772,8400,4,179500
778,6900,2,120500
1113,7917,3,148000
1939,10728,3,266000
1363,39104,2,241500
2270,11764,4,290000
1632,9600,3,139000
816,8314,2,124500
1548,7264,3,205000
1560,9196,3,201000
864,19138,2,141000
2121,14450,3,415298
2022,10005,4,192000
1982,11287,3,228500
1262,7200,2,185000
1314,5063,2,207500
1468,9612,3,244600
1575,8012,2,179200
1250,4251,2,164700
1734,9786,3,159000
858,8125,3,88000
900,9819,3,122000
1396,8730,3,153575
1919,15611,3,233230
1716,5687,6,135900
1716,11409,3,131000
2263,16659,3,235000
1644,9600,3,167000
1003,7937,3,142500
1558,13710,4,152000
1950,7399,3,239000
1743,11700,3,175000
1152,14000,3,158500
1336,15750,2,157000
2452,16226,4,267000
1541,13704,3,205000
894,9800,3,149900
3493,18386,3,295000
2000,10386,3,305900
2243,13474,4,225000
1406,7920,3,89500
861,12342,1,82500
1944,12378,3,360000
1501,7685,3,165600
972,8000,2,132000
1118,7800,3,119900
2036,215245,3,375000
1641,9600,3,178000
1432,7795,3,188500
2353,13005,4,260000
1959,9000,3,270000
2646,9900,4,260000
1472,14115,3,187500
2596,16259,4,342643
2468,12099,4,354000
2730,10380,4,301000
1163,5820,3,126175
2978,11275,5,242000
803,5000,2,87000
1719,10846,1,324000
1383,11600,3,145250
2134,11888,5,214500
1192,6402,3,78000
1728,10624,6,119000
1056,8176,3,139000
1629,10655,3,284000
1358,8198,2,207000
1638,9042,3,192000
1786,164660,3,228950
1922,14157,3,377426
1536,9135,3,214000
1621,14145,3,202500
1215,12400,3,155000
1908,14191,4,202900
841,8400,2,82000
1040,8544,2,87500
1684,8849,2,266000
1112,2592,3,85000
1577,6435,3,140200
958,12772,2,151500
1478,17600,3,157500
1626,2448,2,154000
2728,20431,4,437154
1869,7820,2,318061
1453,5271,2,190000
1111,9084,3,95000
720,8520,2,105900
1595,8400,2,140000
1200,11249,3,177500
1167,9248,3,173000
1142,4224,3,134000
1352,6930,3,130000
1924,12011,3,280000
912,7540,2,156000
1505,9144,3,145000
1922,7301,4,198500
987,1680,2,118000
1574,18800,3,190000
1344,10690,3,147000
1394,9500,3,159000
1431,9150,3,165000
1268,7800,2,132000
1287,9830,3,162000
1664,8121,3,172400
1588,17120,4,134432
752,7175,2,125000
1319,10634,3,123000
1928,8200,4,219500
904,10020,1,61000
914,8846,2,148000
2466,11143,4,340000
1856,11394,1,394432
1800,8123,3,179000
1691,5000,3,127000
1301,7200,2,187750
1797,9245,3,213500
784,9000,2,76000
1953,53107,3,240000
1269,3182,2,192000
1184,8410,5,81000
1125,7200,3,125000
1479,9382,3,191000
2332,12474,3,426000
1367,8405,4,119000
1961,12209,3,215000
882,8339,3,106500
788,7446,2,100000
1034,10134,2,109000
1144,9571,3,129000
894,7200,2,123000
1812,7590,4,169500
1077,8967,2,67000
1550,8125,2,241000
1288,14963,1,245500
1310,8767,3,164990
672,10200,2,108000
2263,12090,4,258000
1572,10364,3,168000
1620,9991,3,150000
1166,10480,3,115000
1680,15576,4,177000
2172,14154,3,280000
2078,10800,3,339750
1276,9571,3,60000
1056,34650,3,145000
1478,4403,2,222000
1028,8960,2,115000
2097,11228,3,228000
1340,8899,3,181134
1400,7844,3,149500
2624,22420,4,239000
1134,8160,3,126000
1056,8450,3,142000
1344,7060,2,206300
1602,16635,3,215000
988,21750,2,113000
2630,9200,4,315000
1196,9000,2,139000
1389,3378,3,135000
1644,12800,2,275000
907,8593,3,109008
1208,6762,2,195400
1412,11457,3,175000
987,1680,2,85400
1198,5586,4,79900
1365,1920,2,122500
1604,10839,3,181000
630,1890,1,81000
1661,10667,3,212000
1118,4400,2,116000
904,6000,2,119000
694,4280,2,90350
1196,12354,3,110000
2402,15431,2,555000
1440,12108,4,118000
1573,6240,3,162900
1258,3922,2,172500
1908,8750,4,210000
1689,9855,3,127500
1888,16492,2,190000
1886,11214,4,199900
1376,8600,3,119500
1183,6000,2,120000
813,5684,2,110000
1533,70761,2,280000
1756,9303,3,204000
1590,9000,3,210000
1728,9297,4,188000
1242,9600,3,175500
1344,4571,4,98000
1663,53227,2,256000
1666,5100,3,161000
1203,7015,3,110000
1935,8004,3,263435
1135,7200,3,155000
864,8281,3,62383
1660,11988,3,188700
1040,8430,3,124000
1414,3072,2,178740
1277,10628,2,167000
1644,9480,3,146500
1634,11428,3,250000
1710,9291,3,187000
1502,6820,1,212000
1969,11952,3,190000
1072,3675,2,148000
1976,14977,2,440000
1652,5330,2,251000
970,8480,2,132500
1493,13125,3,208900
2643,13693,3,380000
1718,10637,3,297000
1131,5925,2,89471
1850,16033,3,326000
1792,11846,2,374000
1826,2500,4,155000
1216,4500,2,164000
999,7758,3,132500
1113,9600,3,147000
1073,10289,3,156000
1484,12243,3,175000
2414,10800,3,160000
630,1526,1,86000
1304,2665,3,115000
1578,9490,3,133000
1456,15578,3,172785
1269,7931,3,155000
886,5784,2,91300
720,7879,2,34900
3228,12692,4,430000
1820,9120,4,184000
899,7800,3,130000
912,7535,2,120000
1218,1890,3,113000
1768,9803,3,226700
1214,9170,2,140000
1801,15602,1,289000
1322,2308,3,147000
1960,7596,4,124500
1911,9554,3,215000
1218,7862,2,208300
1378,9600,3,161000
1041,9600,3,124500
1363,14559,2,164900
1368,6792,2,202665
864,9100,3,129900
1080,9187,3,134000
789,10594,2,96500
2020,12220,3,402861
2119,10448,3,158000
2344,10208,3,265000
1796,9531,3,211000
2080,10918,3,234000
1294,10800,3,106250
1244,11988,3,150000
1664,5000,3,159000
4676,40094,3,184750
2398,11787,3,315750
1266,7500,3,176000
928,13300,2,132000
2713,14948,3,446261
605,9098,2,86000
2515,32668,4,200624
1509,10200,3,175000
1362,6155,3,128000
827,7200,2,107500
334,5000,1,39300
1414,9056,3,178000
1347,7000,3,107500
1724,8924,3,188000
864,12735,3,111250
1159,11553,3,158000
1601,11423,3,272000
1838,14601,2,315000
2285,11000,4,248000
1680,10140,3,213250
767,4058,1,133000
1496,17104,3,179665
2183,13837,4,229000
1635,8737,3,210000
768,7244,2,129500
825,8235,2,125000
2094,9375,4,263000
1069,4043,2,140000
928,6000,3,112500
1717,11146,3,255500
1126,8777,2,108000
2046,10625,3,284000
1048,6380,2,113000
1092,14850,2,141000
1336,11040,3,108000
1446,21872,3,175000
1557,3196,2,234000
1392,11341,3,121500
1389,10010,2,170000
996,13907,3,108000
1674,21780,4,185000
2295,13346,4,268000
1647,6858,4,128000
2504,11198,4,325000
1535,10171,3,214000
2132,12327,1,316600
943,7032,2,135960
1728,13101,6,142600
864,7332,2,120000
1692,13159,3,224500
1430,9967,3,170000
1109,10500,3,139000
1216,8480,2,118500
1477,6292,3,145000
1320,11777,3,164500
1392,3604,2,146000
1795,12150,4,131500
1429,14585,3,181900
2042,12704,3,253293
816,11841,3,118500
2775,13500,3,325000
1573,6120,3,133000
2028,11443,2,369900
838,10267,2,130000
860,8740,2,137000
1473,25095,1,143000
779,9100,2,79500
1582,8320,3,185900
2296,13478,3,451950
816,6600,2,138000
848,4435,1,140000
924,7990,3,110000
1826,11302,3,319000
1368,3600,3,114504
1402,3922,2,194201
1647,12984,3,217500
1556,1950,3,151000
1904,10927,3,275000
1375,9000,3,141000
1915,10041,3,220000
1200,3182,2,151000
1494,12803,3,221000
1986,13600,3,205000
1040,12464,3,152000
2008,7800,3,225000
3194,12168,4,359100
1029,7943,3,118500
2153,11050,3,313000
1032,10395,3,148000
1872,11885,3,261500
1120,8402,3,147000
630,1491,1,75500
1054,8800,3,137500
1509,7861,3,183200
832,7227,2,105500
1828,11694,3,314813
2262,12244,4,305000
864,8248,2,67000
2614,10800,4,240000
980,7064,3,135000
1512,2117,2,168500
1790,10400,4,165150
1116,10000,3,160000
1422,12342,3,139900
1520,9600,3,153000
2080,11606,5,135000
1350,9020,3,168500
1750,9000,3,124000
1554,4590,2,209500
1411,11900,3,82500
1056,9250,3,139400
1056,6979,0,144000
2880,10896,8,200000
800,6120,1,60000
1387,6000,3,93000
796,8777,2,85000
1567,3982,1,264561
1518,12677,1,274000
1929,7050,3,226000
2704,13860,4,345000
1620,10793,4,152000
1766,9187,2,370878
981,10530,3,143250
1048,7200,3,98300
1094,10452,3,155000
1839,7700,4,155000
630,1936,1,84500
1665,8125,3,205950
1510,9084,4,108000
1716,8750,2,191000
1469,10320,3,135000
2113,10437,2,350000
1092,1680,3,88000
1053,10007,3,145500
1502,7200,3,149000
1458,17503,3,97500
1486,9937,3,167000
1935,12384,3,197900
2448,46589,4,402000
1392,13560,2,110000
1181,10012,3,137500
2097,20896,1,423000
1936,11194,3,230500
2380,18450,3,129000
1679,8125,3,193500
1437,14175,3,168000
1180,11600,2,137500
1476,8633,3,173500
1369,6629,3,103600
1208,11250,3,165000
1839,14442,3,257500
1136,9200,3,140000
1441,2289,3,148500
1774,9600,4,87000
792,9022,2,109500
2046,11844,3,372500
988,9945,3,128500
923,8012,2,143000
1520,4500,3,159434
1291,2887,2,173000
1668,11248,3,285000
1839,16770,4,221000
2090,5062,3,207500
1761,10207,3,227875
1102,5105,2,148800
1419,8089,2,392000
1362,7577,2,194700
848,4426,1,141000
4316,21535,4,755000
2519,26178,4,335000
1073,5400,2,108480
1539,6120,3,141500
1137,13811,2,176000
616,6000,2,89000
1148,6420,2,123500
894,8450,3,138500
1391,4282,2,196000
1800,14331,3,312500
1164,9600,3,140000
2576,12438,4,361919
1812,7630,4,140000
1484,8400,3,213000
1092,5600,3,55000
1824,115149,2,302000
1324,6240,2,254000
1456,9018,3,179540
904,7162,3,109900
729,4130,2,52000
1178,8712,2,102776
1228,4671,2,189000
960,9873,3,129000
1479,13517,3,130500
1350,10140,3,165000
2554,10800,3,159500
1178,10000,3,157000
2418,10542,3,341000
971,9920,3,128500
1742,6563,2,275000
848,4426,1,143000
864,8120,3,124500
1470,8172,4,135000
1698,13286,3,320000
864,6960,3,120500
1680,21695,3,222000
1232,7314,2,194500
1776,11475,4,110000
848,6240,2,103000
1616,5389,2,236500
1146,9590,3,187500
2031,11404,3,222500
1144,10000,3,131400
948,8978,3,108000
1768,10800,2,163000
1040,8544,2,93500
1801,10463,3,239900
1200,10800,3,179000
1728,9313,3,190000
1432,9600,2,132000
912,6768,3,142000
1349,8450,3,179000
1464,12886,3,175000
1337,5395,2,180000
2715,8963,4,299800
2256,8795,4,236000
2640,11700,4,265979
1720,10593,3,260400
1529,8405,4,98000
1140,8800,3,96500
1320,7750,3,162000
1494,9236,3,217000
2098,10240,3,275500
1026,7930,3,156000
1471,3230,3,172500
1768,10769,3,212000
1386,11616,3,158900
1501,2280,3,179400
2531,12257,4,290000
864,9100,2,127500
1301,6911,2,100000
1547,8640,3,215200
2365,9430,3,337000
1494,9549,2,270000
1506,14587,2,264132
1714,10421,3,196500
1750,12508,4,160000
1836,9100,3,216837
3279,53504,4,538000
858,7252,2,134900
1220,8877,2,102000
1117,7819,3,107000
912,10150,2,114500
1973,14226,3,395000
1204,4500,2,162000
1614,11210,3,221500
894,13350,3,142500
2020,8400,4,144000
1004,10530,2,135000
1253,7875,3,176000
1603,7153,3,175900
1430,16285,3,187100
1110,9101,1,165500
1484,6300,3,128000
1342,9790,3,161500
1652,10800,4,139000
2084,10142,4,233000
901,6000,2,107900
2087,12205,5,187500
1145,3182,2,160200
1062,11333,3,146800
2013,9920,3,269790
1496,9158,3,225000
1895,10832,3,194500
1564,8400,3,171000
1285,8197,3,143500
773,7677,2,110000
3140,13518,4,485000
1768,7200,3,175000
1688,12798,4,200000
1196,4800,2,109900
1456,8199,3,189000
2822,13891,4,582933
1128,9000,2,118000
1428,12274,3,227680
980,9750,3,135500
1576,21384,3,223500
1086,13400,3,159950
2138,8100,2,106000
1309,10140,3,181000
848,4438,1,144500
1044,8712,2,55993
1442,9750,4,157900
1250,8248,3,116000
1661,12137,3,224900
1008,11425,2,137000
1689,13265,3,271000
1052,8816,3,155000
1358,6371,2,224000
1640,7226,3,183000
936,6000,2,93000
1733,12394,3,225000
1489,9900,3,139500
1489,11216,3,232600
2084,14803,2,385000
784,6130,2,109500
1434,8529,3,189000
2126,28698,3,185000
1143,2544,2,147400
1392,11900,3,166000
1120,3180,2,151000
1829,9548,3,237000
1516,10004,3,167000
1144,7875,3,139950
1067,9600,2,128000
1559,8100,2,153500
987,1680,2,100000
1099,9525,3,144000
1200,11767,3,130500
1482,12155,4,140000
1539,10440,3,157500
1165,9020,3,174900
1800,8000,6,141000
1416,12665,4,153900
1701,16647,3,171000
1775,9317,3,213000
864,15523,3,133500
2358,45600,5,240000
1855,9600,3,187000
848,4435,1,131500
1456,3196,2,215000
1646,7128,4,164000
1445,12095,3,158000
1779,17920,3,170000
1040,6897,3,127000
1026,10970,3,147000
1481,8125,3,174000
1370,10400,3,152000
2654,11029,4,250000
1426,7642,3,189950
1039,11625,3,131500
1097,9672,3,152000
1148,7931,3,132500
1372,8640,3,250580
1002,8750,3,148500
1646,10656,3,248900
1120,6970,3,129000
2267,14762,2,169000
1949,9938,3,236000
894,6600,2,109500
1682,8750,3,200500
910,8892,3,116000
1036,12144,3,133000
1131,5720,3,66500
2610,9000,4,303477
1040,25286,3,132250
2224,8834,4,350000
1155,11782,3,148000
864,7000,3,136500
1090,7024,2,157000
1717,13758,3,187500
1593,9636,3,178000
1749,6204,5,118500
892,7150,3,100000
1709,5119,2,328900
1712,8393,4,145000
1393,16466,3,135500
2217,15865,4,268000
1505,12160,2,149500
924,8064,3,122900
1683,11184,3,172500
1068,8414,3,154500
1383,13284,3,165000
1535,7018,4,118858
1796,7056,4,140000
951,8765,2,106500
2240,7018,6,142953
2364,12919,2,611657
1236,6993,3,135000
858,7340,2,110000
1306,8712,2,153000
1509,7875,3,180000
1670,14859,3,240000
902,6173,3,125500
1063,9920,3,128000
1636,13501,3,255000
2057,11500,3,250000
902,8885,2,131000
1484,12589,3,174000
2274,11600,5,154300
1268,9286,3,143500
1015,6120,3,88000
2002,6270,4,145000
1224,3000,2,173733
1092,2001,3,75000
480,9000,1,35311
1229,17140,3,135000
2127,13125,4,238000
1414,11029,3,176500
1721,8462,3,201000
2200,8777,4,145900
1316,10237,3,169990
1617,8012,2,193000
1686,10240,3,207500
1126,15611,3,175000
2374,11999,4,285000
1978,9900,4,176000
1788,11838,3,236500
2236,13006,4,222000
1466,8925,3,201000
925,9100,2,117500
1905,11670,3,320000
1500,8487,3,190000
2069,27650,4,242000
747,5825,1,79900
1200,10083,2,184900
1971,9675,3,253000
1962,8760,3,239799
2403,24090,4,244400
1728,12640,4,150900
2060,8755,3,214000
1440,7711,4,150000
1632,25000,4,143000
1344,14375,3,137500
1749,8820,2,124900
1144,8163,3,143000
1629,14536,3,270000
1776,14006,3,192500
1381,9360,3,197500
864,7200,3,129000
965,7800,3,119900
768,7200,2,133900
1968,11075,4,172000
980,9400,4,127500
1958,7136,4,145000
1229,1300,2,124000
1057,7420,3,132000
1337,8450,3,185000
1416,2572,3,155000
858,7207,2,116500
2872,12227,4,272000
1548,2308,3,155000
1800,11923,2,239000
1894,11316,4,214900
1484,10237,3,178900
1308,9600,2,160000
1098,7390,3,135000
968,5925,2,37900
1095,10382,2,140000
1192,10800,4,135000
1626,2268,2,173000
918,7892,2,99500
1428,11639,3,182000
2019,11414,3,167500
1382,2651,3,165000
869,5900,2,85500
1241,4274,1,199900
894,9450,3,110000
1121,8816,3,139000
999,12122,3,178400
2612,12203,4,336000
1266,3182,2,159895
2290,11250,4,255900
1734,10125,4,126000
1164,10880,3,125000
1635,5310,2,117000
1940,10159,3,395192
2030,12046,4,195000
1576,8125,3,197000
2392,9452,3,348000
1742,17671,4,168000
1851,9760,3,187000
1500,8846,3,173900
1718,12456,3,337500
1230,4712,3,121600
1050,10659,3,136500
1442,11717,2,185000
1077,9786,3,91000
1208,6762,2,206000
944,10206,2,82000
691,5400,2,86000
1574,11957,3,232000
1680,11500,4,136905
1504,3182,1,181000
985,8385,3,149900
1657,12155,3,163500
1092,2217,3,88000
1710,12118,3,240000
1008,6000,4,102000
1271,21286,4,135000
1664,9825,4,100000
1502,10592,3,165000
1022,7200,2,85000
1082,11664,2,119200
1665,8400,3,227000
1504,11883,3,203000
1360,5814,1,187500
1472,10784,3,160000
1506,3013,2,213490
1132,7024,2,176000
1220,7406,2,194000
1248,9439,2,87000
1504,3182,2,191000
2898,15498,2,287000
882,7700,3,112500
1264,9300,3,167500
1646,9520,3,293077
1376,9492,3,105000
1218,1680,3,118000
1928,7082,5,160000
2685,15863,5,197000
2520,14541,5,310000
1654,8125,3,230000
954,6305,2,119750
845,11500,3,84000
1620,12898,2,315500
2263,9240,3,287000
1344,1533,3,97000
630,1477,1,80000
1803,13125,3,155000
1632,9130,4,173000
1306,5381,1,196000
2329,11839,4,262280
2524,9600,4,278000
1733,13680,4,139600
2868,16056,4,556581
990,9245,3,145000
1771,21750,3,115000
930,11100,2,84900
1302,8993,3,176485
1316,11175,3,200141
1977,9500,4,165000
1526,8562,4,144500
1989,11367,3,255000
1523,11361,3,180000
1364,7052,2,185850
1850,29959,3,248000
2184,11308,3,335000
1991,11275,3,220000
1338,4920,2,213500
894,18000,2,81000
2337,13600,5,90000
1103,6000,2,110500
1154,11000,3,154000
2260,14000,3,328000
1571,7837,3,178000
1611,9760,4,167900
2521,3964,5,151400
893,9600,2,135000
1048,10152,3,135000
1556,11700,4,154000
1456,7585,4,91500
1426,7950,3,159500
1240,8556,2,194000
1740,13125,3,219500
1466,10800,3,170000
1096,15870,3,138800
848,4435,1,155900
990,8775,3,126000
1258,11040,3,145000
1040,7500,3,133000
1459,8749,3,192000
1251,8800,3,160000
1498,13031,3,187500
996,9069,2,147000
1092,1974,3,83500
1953,10574,3,252000
1709,2522,3,137500
1247,3316,1,197000
1040,8544,2,92900
1252,2160,2,160000
1694,8400,4,136500
1200,9230,1,146000
936,5868,2,129000
1314,9317,3,176432
1355,6882,3,127000
1088,3696,2,170000
1324,6000,3,128000
1601,11880,3,157000
438,8400,1,60000
950,9758,3,119500
1134,7000,2,135000
1194,8910,3,159500
1302,2016,3,106000
2622,12256,3,325000
1442,10357,3,179900
2021,23257,3,274725
1690,8063,3,181000
1836,11362,3,280000
1658,8000,3,188000
1964,10480,4,205000
816,7100,2,129900
1008,8923,2,134500
833,5400,2,117000
1734,12085,3,318000
1419,7750,3,184100
894,9764,3,130000
1601,13825,3,140000
1040,7560,3,133700
1012,8263,2,118400
1552,10084,3,212900
960,8926,3,112000
698,9405,2,118000
1482,9125,3,163900
1005,10434,2,115000
1555,3684,2,174000
1530,14572,3,259000
1959,11796,4,215000
936,7200,2,140000
1981,7804,4,135000
974,10712,3,93500
2210,9900,5,117500
2020,9828,3,239500
1600,8773,3,169000
986,6180,2,102000
1252,9600,3,119000
1020,6342,2,94000
1567,9819,2,196000
1167,8731,3,144000
952,7350,2,139000
1868,10304,4,197500
2828,9965,4,424870
1006,9000,3,80000
924,12180,2,80000
1576,6240,3,149000
1298,11200,3,180000
1564,12000,3,174500
1111,5700,2,116900
1482,9000,3,143000
932,8280,2,124000
1466,17755,3,149900
1811,14115,2,230000
816,5890,2,120500
1820,13700,4,201800
1437,10768,3,218000
1265,9350,3,179900
1314,5001,2,230000
1580,11932,3,235128
1876,9120,4,185000
1456,2280,3,146000
1640,14778,3,224000
894,8724,3,129000
1258,12900,0,108959
1432,16157,2,194000
1502,9541,3,233170
1694,10475,3,245350
1671,10852,3,173000
2108,13728,4,235000
3627,35760,4,625000
1118,9880,3,171000
1261,9120,3,163000
1250,4017,2,171900
2607,18030,3,200500
2345,16560,4,239000
2872,10678,4,285000
923,6951,3,119500
1224,3950,3,115000
1343,7681,3,154900
1124,8335,3,93000
2514,11170,4,250000
1652,5587,2,392500
4476,15623,4,745000
1130,10800,2,120000
1572,35133,3,186700
1221,9738,4,104900
1699,10615,3,95000
1624,12461,2,262000
1660,8935,3,195000
1804,7500,3,189000
1622,32463,3,168000
1441,2645,2,174000
1472,9600,3,125000
1224,4500,2,165000
1352,9364,4,158000
1456,8029,3,176000
1863,14054,4,219210
1690,8850,3,144000
1212,9100,3,178000
1382,11235,3,148000
864,9353,3,116050
1779,10400,3,197900
1348,6000,3,117000
1630,9750,3,213000
1074,10140,3,153500
2196,14684,3,271900
1056,8900,2,107000
1700,9135,3,200000
1283,7763,3,140000
1660,10182,3,290000
1845,11218,3,189000
1752,12134,4,164000
672,9340,2,113000
960,10246,0,145000
999,10205,3,134500
894,7094,3,125000
1902,8930,4,112000
1314,8640,3,229456
912,6240,2,80500
1218,1680,3,91500
912,7800,2,115000
1211,8250,3,134000
1846,10496,3,143000
2136,10680,4,137900
1490,15384,3,184000
1138,10482,3,145000
1933,14598,4,214000
912,8872,2,147000
1702,8769,1,367294
1507,7910,4,127000
2620,18890,4,190000
1190,7728,3,132500
1224,9842,2,101800
1188,12160,3,142000
1964,8525,4,130000
1784,13132,4,138887
1626,2628,2,175500
1948,12393,4,195000
1141,13072,3,142500
1484,9037,2,265900
1768,8158,3,224900
1689,9849,3,248328
1173,10625,3,170000
2076,13891,2,465000
1517,11435,3,230000
1868,12090,3,178000
1553,8125,3,186500
1034,12328,3,169900
2058,9600,3,129500
988,7200,3,119000
2110,11160,3,244000
1405,3136,2,171750
874,9858,3,130000
2167,17542,3,294000
1656,6931,3,165400
1367,6240,3,127500
1987,14303,2,301500
864,4060,2,99900
1166,9587,2,190000
1054,9750,3,151000
1675,24682,3,181000
1050,9600,2,128900
1788,11250,5,161500
1824,13515,3,180500
1337,4060,2,181000
1452,3735,3,183900
1889,10120,4,122000
2018,13214,3,378500
3447,14100,4,381000
1524,11344,3,144000
1524,23595,0,260000
1489,9156,3,185750
935,13526,3,137000
1357,11512,2,177000
1250,5362,3,139000
1920,11345,4,137000
1395,12936,3,162000
1724,17871,3,197900
2031,9473,3,237000
1128,7500,2,68400
1573,9808,3,227000
1339,8049,2,180000
1040,8800,3,150500
1824,9400,4,139000
2447,9638,4,169000
1412,6000,4,132500
